UniqueID,SMILES,Energy,Genealogy,smiles,score_type,origin,m_score__min__energy,m_primary,meeko,energy,cluster_rmsd,rmsd,cluster
502,c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2,325.55800755955545,"c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]c(=NCCN3CCCCC3)n1)C2 (tautomer)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (cis-trans isomerization)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (3D coordinates assigned)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (nonaromatic ring conformer: 325.55800755955545 kcal/mol)",c1ccc2c(c1)CCN(c1nc(NCCN3CCCCC3)nc(C3CC3)n1)C2,oracle,autodockgpu,-8.6699999999999999,energy,"{""free_energy"": -8.43, ""intermolecular_energy"": -10.22, ""internal_energy"": -0.9, ""cluster_size"": 19, ""cluster_id"": 1, ""rank_in_cluster"": 14}",-8.52,0.38,271.04,1
502,c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2,325.55800755955545,"c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]c(=NCCN3CCCCC3)n1)C2 (tautomer)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (cis-trans isomerization)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (3D coordinates assigned)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (nonaromatic ring conformer: 325.55800755955545 kcal/mol)",c1ccc2c(c1)CCN(c1nc(NCCN3CCCCC3)nc(C3CC3)n1)C2,oracle,autodockgpu,-8.6699999999999999,energy,"{""free_energy"": -8.6, ""intermolecular_energy"": -10.39, ""internal_energy"": -0.89, ""cluster_size"": 1, ""cluster_id"": 2, ""rank_in_cluster"": 1}",-8.52,0.37,271.02,1
502,c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2,325.55800755955545,"c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]c(=NCCN3CCCCC3)n1)C2 (tautomer)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (cis-trans isomerization)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (3D coordinates assigned)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (nonaromatic ring conformer: 325.55800755955545 kcal/mol)",c1ccc2c(c1)CCN(c1nc(NCCN3CCCCC3)nc(C3CC3)n1)C2,oracle,autodockgpu,-8.6699999999999999,energy,"{""free_energy"": -8.52, ""intermolecular_energy"": -10.31, ""internal_energy"": -0.9, ""cluster_size"": 19, ""cluster_id"": 1, ""rank_in_cluster"": 11}",-8.5,0.39,271.03,1
502,c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2,325.55800755955545,"c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]c(=NCCN3CCCCC3)n1)C2 (tautomer)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (cis-trans isomerization)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (3D coordinates assigned)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (nonaromatic ring conformer: 325.55800755955545 kcal/mol)",c1ccc2c(c1)CCN(c1nc(NCCN3CCCCC3)nc(C3CC3)n1)C2,oracle,autodockgpu,-8.6699999999999999,energy,"{""free_energy"": -8.66, ""intermolecular_energy"": -10.45, ""internal_energy"": -0.81, ""cluster_size"": 19, ""cluster_id"": 1, ""rank_in_cluster"": 3}",-8.43,0.42,270.99,1
502,c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2,325.55800755955545,"c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]c(=NCCN3CCCCC3)n1)C2 (tautomer)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (cis-trans isomerization)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (3D coordinates assigned)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (nonaromatic ring conformer: 325.55800755955545 kcal/mol)",c1ccc2c(c1)CCN(c1nc(NCCN3CCCCC3)nc(C3CC3)n1)C2,oracle,autodockgpu,-8.6699999999999999,energy,"{""free_energy"": -7.0, ""intermolecular_energy"": -8.78, ""internal_energy"": -1.86, ""cluster_size"": 19, ""cluster_id"": 1, ""rank_in_cluster"": 18}",-8.21,0.75,270.89,1
502,c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2,325.55800755955545,"c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]c(=NCCN3CCCCC3)n1)C2 (tautomer)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (cis-trans isomerization)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (3D coordinates assigned)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (nonaromatic ring conformer: 325.55800755955545 kcal/mol)",c1ccc2c(c1)CCN(c1nc(NCCN3CCCCC3)nc(C3CC3)n1)C2,oracle,autodockgpu,-8.6699999999999999,energy,"{""free_energy"": -8.67, ""intermolecular_energy"": -10.46, ""internal_energy"": -0.81, ""cluster_size"": 19, ""cluster_id"": 1, ""rank_in_cluster"": 1}",-8.18,0.78,270.89,1
502,c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2,325.55800755955545,"c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]c(=NCCN3CCCCC3)n1)C2 (tautomer)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (cis-trans isomerization)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (3D coordinates assigned)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (nonaromatic ring conformer: 325.55800755955545 kcal/mol)",c1ccc2c(c1)CCN(c1nc(NCCN3CCCCC3)nc(C3CC3)n1)C2,oracle,autodockgpu,-8.6699999999999999,energy,"{""free_energy"": -8.54, ""intermolecular_energy"": -10.33, ""internal_energy"": -0.87, ""cluster_size"": 19, ""cluster_id"": 1, ""rank_in_cluster"": 8}",-7.99,0.87,270.8,1
502,c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2,325.55800755955545,"c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]c(=NCCN3CCCCC3)n1)C2 (tautomer)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (cis-trans isomerization)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (3D coordinates assigned)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (nonaromatic ring conformer: 325.55800755955545 kcal/mol)",c1ccc2c(c1)CCN(c1nc(NCCN3CCCCC3)nc(C3CC3)n1)C2,oracle,autodockgpu,-8.6699999999999999,energy,"{""free_energy"": -7.99, ""intermolecular_energy"": -9.78, ""internal_energy"": -1.06, ""cluster_size"": 19, ""cluster_id"": 1, ""rank_in_cluster"": 17}",-7.0,1.49,270.42,1
502,c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2,325.55800755955545,"c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]c(=NCCN3CCCCC3)n1)C2 (tautomer)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (cis-trans isomerization)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (3D coordinates assigned)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (nonaromatic ring conformer: 325.55800755955545 kcal/mol)",c1ccc2c(c1)CCN(c1nc(NCCN3CCCCC3)nc(C3CC3)n1)C2,oracle,autodockgpu,-8.6699999999999999,energy,"{""free_energy"": -8.21, ""intermolecular_energy"": -10.0, ""internal_energy"": -1.04, ""cluster_size"": 19, ""cluster_id"": 1, ""rank_in_cluster"": 15}",-6.89,1.96,270.26,1
502,c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2,325.55800755955545,"c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]c(=NCCN3CCCCC3)n1)C2 (tautomer)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (cis-trans isomerization)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (3D coordinates assigned)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (nonaromatic ring conformer: 325.55800755955545 kcal/mol)",c1ccc2c(c1)CCN(c1nc(NCCN3CCCCC3)nc(C3CC3)n1)C2,oracle,autodockgpu,-8.6699999999999999,energy,"{""free_energy"": -8.5, ""intermolecular_energy"": -10.29, ""internal_energy"": -0.9, ""cluster_size"": 19, ""cluster_id"": 1, ""rank_in_cluster"": 13}",-8.6,0.0,271.31,2
503,c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2,330.92806318869054,"c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]c(=NCCN3CCCCC3)n1)C2 (tautomer)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (cis-trans isomerization)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (3D coordinates assigned)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (nonaromatic ring conformer: 330.92806318869054 kcal/mol)",c1ccc2c(c1)CCN(c1nc(NCCN3CCCCC3)nc(C3CC3)n1)C2,oracle,autodockgpu,-8.6699999999999999,energy,"{""free_energy"": -8.58, ""intermolecular_energy"": -10.37, ""internal_energy"": -0.88, ""cluster_size"": 19, ""cluster_id"": 1, ""rank_in_cluster"": 7}",-8.67,0.0,271.16,1
503,c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2,330.92806318869054,"c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]c(=NCCN3CCCCC3)n1)C2 (tautomer)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (cis-trans isomerization)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (3D coordinates assigned)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (nonaromatic ring conformer: 330.92806318869054 kcal/mol)",c1ccc2c(c1)CCN(c1nc(NCCN3CCCCC3)nc(C3CC3)n1)C2,oracle,autodockgpu,-8.6699999999999999,energy,"{""free_energy"": -6.89, ""intermolecular_energy"": -8.68, ""internal_energy"": -1.85, ""cluster_size"": 19, ""cluster_id"": 1, ""rank_in_cluster"": 19}",-8.67,0.04,271.14,1
503,c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2,330.92806318869054,"c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]c(=NCCN3CCCCC3)n1)C2 (tautomer)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (cis-trans isomerization)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (3D coordinates assigned)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (nonaromatic ring conformer: 330.92806318869054 kcal/mol)",c1ccc2c(c1)CCN(c1nc(NCCN3CCCCC3)nc(C3CC3)n1)C2,oracle,autodockgpu,-8.6699999999999999,energy,"{""free_energy"": -8.58, ""intermolecular_energy"": -10.37, ""internal_energy"": -0.88, ""cluster_size"": 19, ""cluster_id"": 1, ""rank_in_cluster"": 6}",-8.66,0.05,271.16,1
503,c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2,330.92806318869054,"c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]c(=NCCN3CCCCC3)n1)C2 (tautomer)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (cis-trans isomerization)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (3D coordinates assigned)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (nonaromatic ring conformer: 330.92806318869054 kcal/mol)",c1ccc2c(c1)CCN(c1nc(NCCN3CCCCC3)nc(C3CC3)n1)C2,oracle,autodockgpu,-8.6699999999999999,energy,"{""free_energy"": -8.65, ""intermolecular_energy"": -10.44, ""internal_energy"": -0.78, ""cluster_size"": 19, ""cluster_id"": 1, ""rank_in_cluster"": 4}",-8.65,0.14,271.14,1
503,c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2,330.92806318869054,"c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]c(=NCCN3CCCCC3)n1)C2 (tautomer)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (cis-trans isomerization)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (3D coordinates assigned)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (nonaromatic ring conformer: 330.92806318869054 kcal/mol)",c1ccc2c(c1)CCN(c1nc(NCCN3CCCCC3)nc(C3CC3)n1)C2,oracle,autodockgpu,-8.6699999999999999,energy,"{""free_energy"": -8.53, ""intermolecular_energy"": -10.32, ""internal_energy"": -0.89, ""cluster_size"": 19, ""cluster_id"": 1, ""rank_in_cluster"": 9}",-8.65,0.05,271.13,1
503,c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2,330.92806318869054,"c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]c(=NCCN3CCCCC3)n1)C2 (tautomer)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (cis-trans isomerization)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (3D coordinates assigned)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (nonaromatic ring conformer: 330.92806318869054 kcal/mol)",c1ccc2c(c1)CCN(c1nc(NCCN3CCCCC3)nc(C3CC3)n1)C2,oracle,autodockgpu,-8.6699999999999999,energy,"{""free_energy"": -8.65, ""intermolecular_energy"": -10.43, ""internal_energy"": -0.82, ""cluster_size"": 19, ""cluster_id"": 1, ""rank_in_cluster"": 5}",-8.58,0.36,270.97,1
503,c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2,330.92806318869054,"c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]c(=NCCN3CCCCC3)n1)C2 (tautomer)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (cis-trans isomerization)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (3D coordinates assigned)
c1ccc2c(c1)CCN(c1nc(C3CC3)[nH]/c(=N/CCN3CCCCC3)n1)C2 (nonaromatic ring conformer: 330.92806318869054 kcal/mol)",c1ccc2c(c1)CCN(c1nc(NCCN3CCCCC3)nc(C3CC3)n1)C2,oracle,autodockgpu,-8.6699999999999999,energy,"{""free_energy"": -8.53, ""intermolecular_energy"": -10.32, ""internal_energy"": -0.9, ""cluster_size"": 19, ""cluster_id"": 1, ""rank_in_cluster"": 10}",-8.58,0.36,270.98,1
